source,target,year,month
Michelle Dickson,"Lang, Velasquez and Johnson",2016,01
Theresa Montoya,"Lang, Velasquez and Johnson",2025,05
Joshua Butler,"Lang, Velasquez and Johnson",2010,05
Sarah Rosales,"Lang, Velasquez and Johnson",2013,01
Hunter Norris,"Lang, Velasquez and Johnson",2014,03
Robert Chavez,"Lang, Velasquez and Johnson",2022,04
Matthew Andrews,Lang-Ferguson,2033,10
Jeffery Scott,Lang-Lopez,2016,07
Lee Ward,Lang-Lopez,2015,02
Christian Anderson,Lang-Lopez,2007,04
Amanda Moody,Lang-Lopez,2028,07
Dr. Zachary Taylor MD,Lang-Lopez,2026,06
Melinda Herring,Lang-Lopez,2031,08
Samantha Preston,Lara Group,2019,10
Angela Ross,Lara Group,2015,11
Mitchell Garcia,Lara Group,2022,02
Douglas Doyle,Lara Group,2025,01
Kevin Andersen,Lara Group,2027,01
Crystal Lambert,Lara Group,2005,10
Dale Brown,Lara Group,2017,08
Timothy Collins,Lara Group,2031,08
Adrienne Sullivan,Lara Group,2026,08
Inés Robledo Llamas,Lara LLC,2033,08
Joseph Hanson,Lara-Baker,2026,11
Terri Jackson,Lara-Baker,2022,10
Chelsea Fuentes DDS,Lara-Baker,2027,09
Leslie Lara,Lara-Baker,2029,07
Rachel Gutierrez,Lara-Baker,2010,08
Candace Chen,Lara-Baker,2029,03
Deanna Garcia,Lara-Baker,2024,02
Nicole Preston,Lara-Butler,2024,07
Matthew Elliott,Lara-Butler,2031,08
Paula Richardson,Lara-Butler,2032,09
Brittney Vazquez,Lara-Butler,2032,11
Terry Barber,Lara-Butler,2026,11
Vincent Black,Lara-Butler,2029,06
Deborah Smith MD,Lara-Butler,2020,07
Shawn Sexton MD,Lara-Butler,2024,03
Theresa Suarez,Lara-Butler,2024,08
Todd Mendoza,Lara-Butler,2023,04
Marie Schwartz,Lara-Butler,2029,06
James Willis,Lara-Butler,2029,12
Tammy Johnson,Lara-Garner,2023,04
Mr. Chad Reed,Lara-Little,2017,10
Dr. Holly Sullivan,Lara-Little,2006,06
Laura Mcmahon,Lara-Little,2005,05
Wendy Jordan,Lara-Little,2029,08
Angela Lloyd,Lara-Little,2017,09
Ruben Lambert,Lara-Little,2015,03
Adam Mcneil,Lara-Little,2009,08
Nancy Walsh,Lara-Little,2008,10
Rosalia Lourdes Cantú,Lara-Little,2030,04
Dawn Pineda,Lara-Little,2005,04
Anthony Aguirre,Lara-Martin,2009,06
Anthony Aguirre,Park Inc,2006,03
Cameron Young,Lara-Martin,2021,03
Carl Richard,Lara-Martin,2027,01
Peggy Fox,Lara-Martin,2031,02
Theresa Daniel,Lara-Martin,2018,08
Jared Casey,Lara-Martin,2016,01
Melissa Pena,Lara-Scott,2023,07
Jacob Bishop,Larsen PLC,2020,06
Janet Hodges,Larsen PLC,2006,02
Christopher Bishop,Larsen PLC,2009,11
Duane Clark,Larsen PLC,2031,07
Lindsey Owens,Larsen PLC,2022,03
Karina Ward,"Larsen, Garcia and Weaver",2034,09
Karina Ward,"Price, Soto and Moreno",2029,11
Dr. Jon Fischer,"Larsen, Garcia and Weaver",2032,03
Krista Lawson,"Larsen, Garcia and Weaver",2033,09
Kristin Dodson,"Larsen, Garcia and Weaver",2034,11
Jay Arroyo,Larsen-Hopkins,2007,04
Erica Bates,Larsen-Hopkins,2005,09
Brianna Bailey,Larsen-Hopkins,2033,09
Darren Shelton,Larsen-Shields,2031,10
Susan Hebert,Larsen-Shields,2014,04
Rebecca Barnes,Larson and Sons,2019,08
Devin Mccarty,Larson and Sons,2028,07
Mrs. Rebecca Gomez,Larson and Sons,2015,09
Margaret Underwood,Larson and Sons,2018,08
Dr. Jeremy Zuniga,Larson and Sons,2015,02
Brian Fuller,Larson and Sons,2033,06
Dr. Antonio Contreras,Larson and Sons,2033,06
Paul Obrien,Larson and Sons,2015,02
Eugene Jones,Larson and Sons,2025,04
Sharon Holder,Larson LLC,2005,01
Joann Griffith,Larson LLC,2017,01
Kathryn Sherman,Larson LLC,2021,08
Sara Joseph,Larson LLC,2018,09
Mark Copeland,Larson LLC,2029,04
Eileen Boyd,Larson LLC,2020,01
Julia Mendoza,Larson LLC,2020,02
Wendy Clayton,"Larson, Butler and Barber",2026,06
Kathleen Ward,"Larson, Butler and Barber",2025,07
Rhonda Henderson,"Larson, Butler and Barber",2014,12
Rhonda Henderson,"Miranda, Rivera and Ingram",2016,10
Paul Wong,"Larson, Butler and Barber",2022,01
Jaime Dunn,"Larson, Butler and Barber",2021,07
Sheryl Cortez,"Larson, Butler and Barber",2034,10
Michael Stevens,"Larson, Butler and Barber",2033,03
Ashley Barber,"Larson, Butler and Barber",2028,11
Olivia Baldwin,"Larson, Butler and Barber",2019,08
Mrs. Isabel Smith,"Larson, Chang and Schultz",2009,09
Charles Ferguson,"Larson, Chang and Schultz",2008,01
Hannah Brown DVM,"Larson, Chang and Schultz",2012,07
Steve Freeman,"Larson, Chang and Schultz",2008,10
Allison Mason,"Larson, Chang and Schultz",2032,08
Sonya Pope,"Larson, Chang and Schultz",2007,09
Alexis Morris,"Larson, Chang and Schultz",2027,04
Kerri Smith,Larson-Downs,2012,07
Maria Reyes,Larson-Downs,2012,03
James Bray,Larson-Downs,2019,12
Joanne Estrada,Larson-Downs,2011,03
Angela Gibson,Larson-Goodman,2031,05
Marie Keith,Larson-Goodman,2032,12
Amber Webster,Larson-Goodman,2032,09
Nicole Skinner,Larson-Ward,2031,01
Tina Bray,Lawrence Inc,2033,02
Roger Sanders,Lawrence Inc,2032,10
Alexander Duran,"Lawrence, Castro and Fleming",2015,11
Gianpietro Cheda,"Lawrence, Fleming and Drake",2033,02
Jeffrey Ortiz,"Lawrence, Fleming and Drake",2034,11
Christine Fernandez,"Lawrence, Fleming and Drake",2033,07
Philip Clark,"Lawrence, George and Evans",2015,09
Desiree Gray,"Lawrence, George and Evans",2030,03
Francisco Llamas Bernal,"Lawrence, Gonzalez and Hess",2018,04
Frank Weeks,"Lawrence, Gonzalez and Hess",2014,11
Kristi Brown,"Lawrence, Gonzalez and Hess",2009,05
Randy Green,"Lawrence, Gonzalez and Hess",2019,03
Julie Bennett,"Lawrence, Gonzalez and Hess",2019,04
Dr. Kaitlyn Le,"Lawrence, Gonzalez and Hess",2025,04
Nicholas Blankenship,"Lawrence, Gonzalez and Hess",2021,01
Donna Bentley,"Lawrence, Gonzalez and Hess",2011,07
Stephen Mullins,"Lawrence, Grant and Gomez",2014,12
Rita Gonzalez,"Lawrence, Grant and Gomez",2021,03
Douglas Hawkins,"Lawrence, Grant and Gomez",2018,01
Sandra Cobb,"Lawrence, Grant and Gomez",2033,08
Francisco Ball,"Lawrence, Grant and Gomez",2023,01
Jonathon Bradley,"Lawrence, Hall and Ramirez",2026,02
Kaitlin Soto,"Lawrence, Hall and Ramirez",2027,06
Kaitlin Soto,Wade-Bennett,2022,12
Kelly Fisher,"Lawrence, Hall and Ramirez",2033,06
Adam Robles,Lawrence-Espinoza,2008,05
Lawrence Davis,Lawrence-Espinoza,2022,05
Cassandra Baldwin,Lawrence-Espinoza,2008,07
Cassandra Baldwin,Mcgee-Parker,2019,12
Kimberly Pineda,Lawrence-Espinoza,2012,10
William Lyons,Lawrence-Espinoza,2008,10
Samuel Newman,Lawrence-Hanna,2027,04
Tamara Brown DDS,Lawrence-Hanna,2027,11
Lacey Khan,Lawrence-Hanna,2034,11
Tamara Ward,Lawrence-Hanna,2034,12
Warren Nash,Lawrence-Hanna,2028,05
Tammie Mccann,Lawrence-Hanna,2032,08
Dominic Harvey,Lawrence-Hanna,2031,06
Tonya Garcia,Lawrence-Hanna,2031,10
Jason Terry,Lawson and Sons,2005,08
Tina Padilla,Lawson and Sons,2023,11
Carla Zanzi,Lawson and Sons,2032,07
Carla Zanzi,Lewis-Herrera,2034,04
Sandy Snow,Lawson and Sons,2022,11
Michael Skinner,Lawson and Sons,2020,05
Kelli Woodward,Lawson and Sons,2019,09
Vanessa Ramirez,"Lawson, Herring and Lewis",2017,12
James Savage,"Lawson, Herring and Lewis",2009,03
Jennifer Pitts,"Lawson, Herring and Lewis",2006,06
Sarah Robbins,"Lawson, Herring and Lewis",2033,02
Lauren Rivers,"Lawson, Herring and Lewis",2011,04
Victor-Richard Becker,"Lawson, Phelps and Rodriguez",2012,10
Joshua Griffin,"Lawson, Phelps and Rodriguez",2016,11
Colin Parks,"Lawson, Phelps and Rodriguez",2016,04
Scott Mcintyre,"Lawson, Phelps and Rodriguez",2032,02
Whitney Dennis,"Lawson, Wright and Perkins",2033,06
Andrew Villarreal,"Lawson, Wright and Perkins",2032,04
Samuel Conway,"Lawson, Wright and Perkins",2031,04
Gwendolyn Ray,"Lawson, Wright and Perkins",2034,10
Michelle Manning,"Lawson, Wright and Perkins",2027,12
Morgan Salazar,"Lawson, Wright and Perkins",2033,07
Rachel Burch,"Lawson, Wright and Perkins",2034,06
Dr. Wesley Brown,"Lawson, Wright and Perkins",2024,10
William Flores,"Lawson, Wright and Perkins",2030,05
Cheryl Perry,Lawson-Henderson,2012,01
Christopher Castro,Lawson-Ibarra,2034,07
Sarah Gonzales,Lawson-Keller,2026,05
Robert Montgomery,Lawson-Keller,2030,12
Hector Osborn,Lawson-Keller,2028,06
Jessica Morgan,Lawson-Keller,2022,10
Stephen Burke DDS,Lawson-Keller,2027,07
George Ramirez,Lawson-Keller,2031,06
Richard Mckee,Lawson-Keller,2031,12
Adrien Besson,"Le, Morales and Sanchez",2006,02
Cathy Gutierrez,"Le, Morales and Sanchez",2034,10
Gary Compton,"Le, Morales and Sanchez",2028,05
Mrs. Mercedes Nguyen,"Le, Morales and Sanchez",2034,08
Jason Carrillo,Leach Group,2033,08
Debra Taylor,"Leach, Mccormick and Cox",2027,02
Martha Fox,"Leach, Mccormick and Cox",2032,08
Cristina Cobb,"Leach, Mccormick and Cox",2018,10
Glenn Baker,"Leach, Mccormick and Cox",2024,10
Charles Blair,"Leach, Mccormick and Cox",2007,05
Justin Le,"Leach, Mccormick and Cox",2028,02
Emily Armstrong,"Leach, Mccormick and Cox",2011,10
Emma Monroe,Leach-Grimes,2023,03
Alejandra Barker,Leach-Grimes,2021,10
Adam Wallace,Leach-Grimes,2023,07
James Tanner,Leach-Grimes,2023,12
John Marks,Leach-Grimes,2011,11
John Marks,Lewis-Johnson,2032,03
John Marks,"Spencer, Cohen and Ramirez",2034,05
Manuel Walker,Leach-Grimes,2027,09
Jennifer Smith DDS,Leblanc Inc,2033,09
Benjamin Oneill,Leblanc Inc,2034,03
Michael Solomon Jr.,Leblanc Inc,2033,10
Donald Edwards MD,Leblanc Inc,2033,06
Donna Douglas,Leblanc PLC,2008,02
Charlene Jones DDS,Leblanc PLC,2015,04
Calvin Brooks,Leblanc PLC,2034,05
Mrs. Ashley Gomez,Leblanc PLC,2024,12
Isaac Fitzgerald,Leblanc PLC,2008,07
Natasha Bradford,Leblanc PLC,2006,09
Jordan Schultz,"Leblanc, Pierce and Williams",2018,04
Julie Leonard,"Leblanc, Pierce and Williams",2033,12
Mark Kane,"Leblanc, Pierce and Williams",2028,10
Natasha Becker,"Leblanc, Pierce and Williams",2029,01
Cody Thompson,"Leblanc, Pierce and Williams",2010,07
Gwendolyn Webb,"Leblanc, Pierce and Williams",2033,07
Shelley Conley,"Leblanc, Pierce and Williams",2026,03
Lance Campbell,"Leblanc, Pierce and Williams",2028,02
Brenda Meadows,Leblanc-Gill,2017,08
Tiffany Schwartz,Leblanc-Gill,2009,09
Katherine Norman,Le-Coleman,2027,06
Leslie Mitchell,Le-Coleman,2027,07
Melinda Morris,Le-Coleman,2028,07
Kristen Green,Lee and Sons,2021,12
Travis Wright,Lee and Sons,2010,12
Kylie Hernandez,Lee and Sons,2009,08
Kimberly Kim,Lee Group,2022,08
Elizabeth Cabrera,Lee Group,2027,09
Danny Lee,Lee Group,2019,10
Amy Simon,Lee Inc,2022,12
Mrs. Kristin Davis,Lee Inc,2033,10
Charles Arellano,Lee Inc,2030,01
Hannah Lee,Lee Inc,2032,12
Joy Duffy,Lee Inc,2018,12
Joy Duffy,Mccoy-Williams,2021,05
Diane Hunter,Lee Inc,2020,12
Kimberly Carey,Lee LLC,2005,10
Scott Silva,Lee LLC,2025,01
Craig Hamilton,Lee LLC,2028,04
Lamberto Cesarotti,Lee Ltd,2008,11
Kevin Fisher,Lee Ltd,2014,08
Caitlyn Diaz,Lee Ltd,2019,10
Matthew Cordova,Lee Ltd,2008,01
Tara Ferguson,Lee Ltd,2026,09
Alicia Pedraza,Lee PLC,2020,01
Kathleen Rivera,Lee PLC,2019,06
Matthew Jensen,Lee PLC,2034,07
Jerry Melton,Lee PLC,2023,06
Caroline Spears,Lee PLC,2012,08
Caroline Spears,Myers Group,2034,04
Mrs. Michelle Peterson,"Lee, Adams and King",2019,11
Hector Johnson,"Lee, Adams and King",2024,04
James Haney,"Lee, Adams and King",2008,09
Adrienne Lara,"Lee, Adams and King",2010,03
Kevin Humphrey,"Lee, Adams and King",2020,01
Patricia Lambert,"Lee, Adams and King",2021,03
Paula Anderson,"Lee, Bradford and Vang",2016,11
Joseph Hanna,"Lee, Bradford and Vang",2031,12
Ray Bryant,"Lee, Bradford and Vang",2023,09
Jason Walter,"Lee, Bradford and Vang",2012,04
Jasmine Walton,"Lee, Bradford and Vang",2029,01
Baccio Alboni,"Lee, Bradford and Vang",2010,08
Jon Davis,"Lee, Davis and Simmons",2010,06
Christian Fields,"Lee, Hawkins and Walker",2024,10
Mark Robertson,"Lee, Hawkins and Walker",2024,12
Matthew Mcintyre,"Lee, Hawkins and Walker",2032,12
Kelly Moreno,"Lee, Hawkins and Walker",2027,11
Victor Carlson,"Lee, Hawkins and Walker",2024,06
Craig Mckenzie,"Lee, Hawkins and Walker",2027,06
Ryan Ritter PhD,"Lee, Hawkins and Walker",2031,03
Christopher Shields,"Lee, Lopez and Stone",2006,01
Brooke Lara,"Lee, Lopez and Stone",2018,03
Jesse Obrien,"Lee, Nelson and Berry",2025,05
Rodney Steele,"Lee, Nelson and Berry",2013,02
Kyle Taylor,"Lee, Rice and Dixon",2006,12
Jill Burch,"Lee, Rice and Dixon",2024,12
Steven Forbes,"Lee, Rice and Dixon",2034,04
Michael Manning,"Lee, Rice and Dixon",2030,07
Marissa Robbins,"Lee, Rice and Dixon",2024,11
Gary Kennedy,"Lee, Rice and Dixon",2015,12
Gary Welch,"Lee, Rice and Dixon",2034,12
Lindsey Guzman,"Lee, Rice and Dixon",2008,05
Joshua Aguirre,"Lee, Robbins and Lopez",2030,06
Anthony Ward,"Lee, Robbins and Lopez",2012,08
Mike Hall,"Lee, Robbins and Lopez",2008,02
Darren Molina,"Lee, Robbins and Lopez",2023,01
Olivia Chen,"Lee, Robbins and Lopez",2022,10
Mackenzie Medina,"Lee, Robbins and Lopez",2032,11
Zachary Bell,"Lee, Robbins and Lopez",2025,09
Erik Spencer,"Lee, Robbins and Lopez",2009,03
Matthew Lewis MD,"Lee, Salazar and Colon",2034,10
Alyssa Frost,"Lee, Thomas and Meyer",2005,01
Steven Welch,"Lee, Thomas and Meyer",2015,08
Dawn Hall DVM,"Lee, Thomas and Meyer",2028,11
Jeremy Gordon,"Lee, Torres and Thompson",2030,10
Jared Maldonado,"Lee, Torres and Thompson",2022,05
Destiny Carr,"Lee, Torres and Thompson",2017,10
Emily Patrick,"Lee, Torres and Thompson",2026,01
Melanie Rivera,"Lee, Torres and Thompson",2026,03
Adam Fisher,"Lee, Torres and Thompson",2017,11
Mark Watson,"Lee, Torres and Thompson",2031,02
Kimberly Gray,"Lee, Torres and Thompson",2019,09
Ann White,"Lee, Torres and Thompson",2023,02
Ann White,Wilson PLC,2022,08
Kelly Noble,Lee-Coffey,2013,12
Rick Mora,Lee-Coffey,2010,04
Jeff Small,Lee-Coffey,2009,07
Anita Garcia,Lee-Coffey,2011,09
Megan Harrington,Lee-Coffey,2018,01
Miranda Brown,Lee-Coffey,2030,05
Aurore Fontaine,Lee-Contreras,2008,02
Matthew Riley,Lee-Contreras,2015,03
Joseph Kidd,Lee-Foster,2021,04
Randall Frost,Lee-Foster,2018,03
Blake Moore,Lee-Foster,2031,02
Carol Howard,Lee-Fuentes,2027,12
Eugene Alexander,Lee-Fuentes,2028,12
Steven Fields,Lee-Fuentes,2011,10
Mark Spence,Lee-Fuentes,2021,09
Ivan Bradford,Lee-Fuentes,2017,11
Melanie Stone,Lee-Fuentes,2031,08
Kenneth Madden,Lee-Fuentes,2011,12
Shane Burnett,Lee-Fuentes,2026,10
Jessica Escobar,Lee-Fuentes,2017,12
Debbie Jackson,Lee-Fuentes,2024,05
Caroline Miller,Lee-Fuentes,2033,06
Robin Gray,Lee-Fuentes,2031,08
Summer Brooks,Lee-Gregory,2031,10
Mrs. Erica Adams MD,Lee-Gregory,2033,04
Mark Hodge,Lee-Gregory,2034,04
Spencer Phillips,Lee-Gregory,2033,06
Billy Perry,Lee-Jones,2010,04
Justin Armstrong,Lee-Jones,2017,03
Devin Bryant,Lee-Jones,2033,03
Jillian Clements,Lee-Jones,2006,11
Edward Lewis,Lee-Jones,2030,01
Olivia Rios,Lee-Jones,2011,07
Mr. Juan Gonzalez,Lee-Jones,2021,06
Tamara Sims,Lee-King,2032,09
Thomas Andrews,Lee-King,2017,03
Antonio Patterson,Lee-King,2021,09
Filippa Chechi,Lee-King,2013,04
Erik Mora,Lee-King,2034,02
Makayla Weaver,Lee-King,2019,11
Misty Bauer,Lee-King,2025,12
Jennifer Suarez DDS,Lee-King,2031,07
James Simpson,Lee-King,2006,12
Michelle Nash,Lee-King,2005,06
Lynn Olson,Lee-King,2017,02
John Santiago,Lee-King,2016,08
Terri Montoya,Lee-King,2031,04
Michele Cox,Lee-Munoz,2020,12
Dawn Oliver,Lee-Munoz,2032,03
Monica Mullen,Lee-Munoz,2024,03
Paige Trujillo,Lee-Munoz,2020,02
Sherri Jimenez,Lee-Munoz,2022,04
Santiago Paredes,Lee-Petersen,2032,10
Julia Padilla,Lee-Petersen,2019,01
Barbara Kramer,Lee-Petersen,2021,12
Joanne Rivera,Lee-Petersen,2010,01
Earl Perkins,Lee-Petersen,2030,01
Shelly Newman,Lee-Ramirez,2017,05
Steven Miranda,Lee-Ramirez,2022,01
Sara Duran,Lee-Ramirez,2025,02
James Sims,Lee-Ramirez,2023,12
Adrian Johnson,Lee-Ramirez,2029,10
Brad Reynolds,Lee-Rogers,2016,09
Dan West,Lee-Rogers,2031,04
Kathleen Tran,Lee-Smith,2027,08
Michelle Casey MD,Lee-Smith,2030,11
Christy Duncan,Lee-Smith,2027,05
Jacobo Padilla Peralta,Lee-Stone,2032,03
Dr. Samuel Hoover,Lee-Stone,2034,09
Jay Kim,Lee-Stone,2020,10
Raymond Baldwin,Lee-Stone,2017,09
Tonya Ball,Lee-Stone,2024,06
Amber Chang,Lee-Velasquez,2026,07
Travis Scott,Lee-Velasquez,2007,05
Chelsea Fuller,Lee-Velasquez,2013,06
Stacey Murphy,Lee-Velasquez,2034,08
Randy Robinson,Lee-Velasquez,2032,01
Nicolas Hayes,Lee-Velasquez,2022,08
Virginia Phelps,Lee-Velasquez,2034,05
Ryan Mack,Lee-Velasquez,2033,07
Lawrence Nichols,Lee-Velasquez,2016,08
Joe Schaefer,Lee-Velasquez,2031,09
Claude-Paulette Joly,Lee-Walters,2016,08
Jessica Hunter,Lee-Walters,2014,09
Carolyn Casey,Lee-Walters,2023,05
Giacinto Ferretti,Leon Group,2017,06
Travis Escobar,Leon Group,2011,02
Trevor Stanley,Leon Group,2013,01
Jimmy Larsen,Leon Group,2021,11
Jessica Friedman,Leon Group,2018,02
Nicholas Reilly DVM,Leon Group,2031,08
Dr. Adam Sparks,Leon Group,2008,07
Wanda Miller,Leon Group,2027,03
Brenda Liu,"Leon, Jones and Jackson",2011,07
Nathaniel Boyd,"Leon, Jones and Jackson",2020,04
Dr. Mitchell Brown,"Leon, Jones and Jackson",2029,12
Chris Hall,"Leon, Jones and Jackson",2028,07
Jerry Middleton PhD,"Leon, Jones and Jackson",2011,02
Todd Townsend,"Leon, Jones and Jackson",2034,07
George Wheeler,"Leon, Jones and Jackson",2009,09
Rhonda Mays,Leonard LLC,2024,08
Sherri Knapp,Leonard LLC,2017,03
Kaitlin Mason,Leonard LLC,2030,02
Suzanne Clarke,Leonard LLC,2028,03
Gilles Le Benard,"Leonard, Ballard and Miller",2016,08
George Lowery,"Leonard, Ballard and Miller",2013,12
Gina Fletcher,"Leonard, Ballard and Miller",2027,01
Darrell Bailey,"Leonard, Ballard and Miller",2033,11
John Burch,Leonard-Harmon,2026,04
Connie Salas,Leonard-Harmon,2017,01
Mrs. Shelly Spencer,Leonard-Harmon,2009,07
Mitchell Wilkinson,Leonard-Harmon,2029,04
Matthew Silva,Leonard-Harmon,2019,12
Nathaniel Fry,Leonard-Harmon,2028,07
Laetitia Valette,Leonard-Huerta,2027,05
Jason Mercado,Leonard-Huerta,2031,04
Erica Johnson,Leonard-Johnson,2016,01
Breanna Flowers,Leonard-Johnson,2014,08
Nathan Sawyer,Lester and Sons,2026,04
Steve Evans,Lester and Sons,2018,06
Stacie Walker,Lester and Sons,2017,05
Ricky Scott,Lester and Sons,2019,03
Brittany Bates,Lester and Sons,2011,03
Sandra Church,Lester and Sons,2018,08
Fred Webster,Lester and Sons,2019,12
Gianluca Solimena,"Lester, Wang and Smith",2027,06
Allison Ray,"Lester, Wang and Smith",2025,02
Zeferino Medrano,Levy and Sons,2029,05
Andrea Morris,Levy and Sons,2026,10
Derek Reeves,Levy and Sons,2011,03
Cindy Hodge,Levy and Sons,2016,03
Kristine Russell,Levy and Sons,2018,02
Adam Lawrence,Levy PLC,2033,07
Vanessa Morales,Levy PLC,2029,09
Vanessa Morales,Turner-Horn,2033,08
Linda Murphy,Levy PLC,2031,12
Marie Dawson,Levy PLC,2029,06
Charles Cunningham,Levy PLC,2030,10
Amy Terry,Levy PLC,2031,12
Yvette Wilson,Levy PLC,2033,10
Mike Jones,Levy PLC,2033,06
Helen Liu,Levy PLC,2029,12
Andrea Cunningham,Levy PLC,2033,01
Julie Odonnell,"Levy, Bowers and Huffman",2034,11
Julie Odonnell,Ortega Inc,2018,01
Bradley Long,"Levy, Johnson and Nelson",2027,11
Veronica Young,"Levy, Johnson and Nelson",2027,09
Clayton Zimmerman,"Levy, Johnson and Nelson",2031,05
Dennis Harrington,"Levy, Melendez and Miller",2018,03
Miss Rebekah Brown,"Levy, Melendez and Miller",2017,03
Kayla Tucker,Levy-Stanley,2030,12
Barbara Bryant,Levy-Stanley,2030,05
Lisa Salinas,Levy-Stanley,2033,09
Brandon Gordon,Levy-Stanley,2029,11
Victor Grimes,Levy-Stanley,2026,08
Nichole Dawson,Levy-Stanley,2034,11
Suzanne Meyer,Levy-Stanley,2027,04
Suzanne Meyer,Villegas PLC,2025,07
Suzanne Meyer,"Willis, Wood and Maddox",2034,03
Todd Gay,Levy-Stanley,2026,09
Donna Taylor,Levy-Stanley,2031,07
Lance Riley,Levy-Stanley,2027,12
Yolanda Clark,Lewis and Sons,2025,05
Anthony Richmond,Lewis Group,2012,11
Orlando Iadanza-Bettin,Lewis Inc,2026,12
Joshua Hull,Lewis Inc,2022,02
Joshua Hull,Fernandez-English,2035,02
Antonio Cole,Lewis Inc,2019,05
Heather Erickson,Lewis Inc,2014,06
Joshua Farrell,Lewis Inc,2027,06
Andrea Marks,Lewis Inc,2012,12
Charlotte Santiago,Lewis Inc,2031,06
Dalton Ortiz,Lewis Inc,2026,05
Troy Pham,Lewis Inc,2018,01
William Poole,Lewis Inc,2029,06
Neil Morris,"Lewis, Baker and Jones",2022,07
Dawn Marsh,"Lewis, Baker and Jones",2014,03
Dana Figueroa,"Lewis, Bridges and Reynolds",2026,09
Julia Parker,"Lewis, Bridges and Reynolds",2029,09
Albert Boyd,"Lewis, Bridges and Reynolds",2006,09
Brad Gomez,"Lewis, Camacho and David",2032,03
Ryan Holden,"Lewis, Castillo and Tate",2018,01
Shawna Escobar,"Lewis, Castillo and Tate",2022,09
Barbara Drake,"Lewis, Castillo and Tate",2018,11
Krista David,"Lewis, Gregory and Johnson",2005,06
Nicholas Lynch,"Lewis, Hoffman and Vang",2013,12
Kenneth Spence,"Lewis, Hoffman and Vang",2010,01
Wendy Mcintyre,"Lewis, Hoffman and Vang",2025,03
Jasmine Mckenzie PhD,"Lewis, Lang and Johnson",2022,12
Susanne Guillot-Dumont,"Lewis, Montgomery and Robinson",2029,04
Angela Chapman MD,"Lewis, Montgomery and Robinson",2027,02
Margaret Griffin,"Lewis, Montgomery and Robinson",2013,03
Dorothy Summers,"Lewis, Montgomery and Robinson",2023,05
Randall Lewis,"Lewis, Montgomery and Robinson",2026,03
Eric Clara Montenegro Almaraz,"Lewis, Phillips and Anderson",2027,10
Andrea Dixon,"Lewis, Phillips and Anderson",2022,06
Kelly Davila,"Lewis, Phillips and Anderson",2012,01
Scott Howard,"Lewis, Phillips and Anderson",2017,12
Kim Mcknight,"Lewis, Phillips and Anderson",2021,06
Cheryl Leonard,"Lewis, Phillips and Anderson",2030,03
Nicole Weber MD,"Lewis, Rosales and Ortiz",2033,11
David Pierce,"Lewis, Rosales and Ortiz",2034,06
Mrs. Michelle Williamson,"Lewis, Rosales and Ortiz",2033,08
Amanda Mckenzie,"Lewis, Rosales and Ortiz",2021,07
Brenda Sharp,"Lewis, Rosales and Ortiz",2011,05
Patrick Woods,"Lewis, Rosales and Ortiz",2017,03
Shari Carr,"Lewis, Rosales and Ortiz",2017,08
Danny Dixon,"Lewis, Watson and Cordova",2033,05
Charles Harrell,"Lewis, Watson and Cordova",2030,06
Harold Blair,"Lewis, Watson and Cordova",2031,01
Laura Webb,"Lewis, Watson and Cordova",2031,04
Nicole Santana,"Lewis, Watson and Cordova",2030,11
Derrick Gallegos,"Lewis, Watson and Cordova",2033,08
Alfredo Angélica Gaona Griego,Lewis-Anderson,2034,01
Rhonda Robertson,Lewis-Anderson,2032,12
James Montgomery,Lewis-Anderson,2033,02
Lori Matthews,Lewis-Anderson,2031,08
Stephanie Esparza,Lewis-Anderson,2032,04
Dr. Micheal Anderson,Lewis-Castro,2022,07
Willie Mcclain,Lewis-Castro,2032,05
Alexa Johnson,Lewis-Castro,2029,04
Claudia Mercer,Lewis-Castro,2031,08
Brenda Marsh,Lewis-Castro,2022,02
Mary Simpson,Lewis-Castro,2028,04
Erika White,Lewis-Castro,2034,02
Darren Crosby,Lewis-Collins,2022,10
Sherri Hill,Lewis-Collins,2018,07
Kaitlyn Jones,Lewis-Collins,2012,04
Albert Turner,Lewis-Collins,2029,09
Kelsey Pierce,Lewis-Collins,2005,05
Alicia Braun,Lewis-Collins,2007,10
Gina Peck,Lewis-Collins,2014,12
Harold Alvarez,Lewis-Collins,2007,01
Ricardo Benitez,Lewis-Cook,2010,10
Terri Bradley,Lewis-Cook,2018,05
Derrick Huang,Lewis-Cook,2010,02
Blake Hooper,Lewis-Cook,2029,08
Destiny Cline MD,Lewis-Cook,2033,03
Mrs. Andrea Fox,Lewis-Cook,2030,02
Alexis Wagner,Lewis-Cook,2026,08
Marc Williams DDS,Lewis-Cook,2008,01
Edward Alvarado,Lewis-Cook,2017,09
Gregory Pena,Lewis-Dennis,2032,04
Brent Fowler,Lewis-Dennis,2034,07
Shelley Hunter,Lewis-Dennis,2034,06
Tara Bullock,Lewis-Fuentes,2016,01
Craig Turner,Lewis-Fuentes,2017,03
Casey Foster,Lewis-Fuentes,2030,02
Shane Perez,Lewis-Fuentes,2027,08
Victoria Barnes,Lewis-Fuentes,2031,06
Lucas Burton DDS,Lewis-Hayes,2011,01
Virginia Williams,Lewis-Hayes,2026,01
Holly Ayers,Lewis-Hayes,2026,02
Maria Henderson,Lewis-Hayes,2026,09
Jerry Murphy,Lewis-Hill,2033,04
